CMDLINE python Benchmark.py
MEM 2517.375000 1777130055.3019
MEM 2523.750000 1777130055.4023
MEM 2530.000000 1777130055.5027
MEM 2535.000000 1777130055.6031
MEM 2540.000000 1777130055.7035
MEM 2545.500000 1777130055.8040
MEM 2551.500000 1777130055.9044
MEM 2557.875000 1777130056.0048
MEM 2564.125000 1777130056.1053
MEM 2570.125000 1777130056.2057
MEM 2576.250000 1777130056.3062
MEM 2581.750000 1777130056.4068
MEM 2588.125000 1777130056.5073
MEM 2594.750000 1777130056.6079
MEM 2601.125000 1777130056.7085
MEM 2607.125000 1777130056.8092
MEM 2612.750000 1777130056.9098
MEM 2618.750000 1777130057.0103
MEM 2624.750000 1777130057.1107
MEM 2630.375000 1777130057.2111
MEM 2636.750000 1777130057.3114
MEM 2638.250000 1777130057.4119
MEM 2638.250000 1777130057.5123
MEM 2638.250000 1777130057.6128
MEM 2638.250000 1777130057.7134
MEM 2638.250000 1777130057.8138
MEM 2638.250000 1777130057.9143
MEM 2638.250000 1777130058.0148
MEM 2638.250000 1777130058.1153
MEM 2638.250000 1777130058.2158
MEM 2638.250000 1777130058.3162
MEM 2638.250000 1777130058.4167
MEM 2638.250000 1777130058.5172
MEM 2638.250000 1777130058.6177
MEM 2638.250000 1777130058.7182
MEM 2638.250000 1777130058.8187
MEM 2638.250000 1777130058.9192
MEM 2638.250000 1777130059.0197
MEM 2638.250000 1777130059.1201
MEM 2638.250000 1777130059.2206
MEM 2638.250000 1777130059.3211
MEM 2638.250000 1777130059.4217
MEM 2638.250000 1777130059.5222
MEM 2638.250000 1777130059.6227
MEM 2638.250000 1777130059.7233
MEM 2638.250000 1777130059.8237
MEM 2638.250000 1777130059.9242
MEM 2638.250000 1777130060.0247
MEM 2638.250000 1777130060.1252
MEM 2638.250000 1777130060.2256
MEM 2638.250000 1777130060.3260
MEM 2638.250000 1777130060.4265
MEM 2638.250000 1777130060.5269
MEM 2638.250000 1777130060.6274
MEM 2638.250000 1777130060.7279
MEM 2638.250000 1777130060.8284
MEM 2638.250000 1777130060.9289
MEM 2638.250000 1777130061.0294
MEM 2638.250000 1777130061.1299
MEM 2639.375000 1777130061.2303
MEM 2645.750000 1777130061.3307
MEM 2651.500000 1777130061.4311
MEM 2656.625000 1777130061.5315
MEM 2662.125000 1777130061.6319
MEM 2668.500000 1777130061.7324
MEM 2674.250000 1777130061.8328
MEM 2680.250000 1777130061.9333
MEM 2686.250000 1777130062.0337
MEM 2692.500000 1777130062.1341
MEM 2698.875000 1777130062.2345
MEM 2705.250000 1777130062.3351
MEM 2711.750000 1777130062.4356
MEM 2716.875000 1777130062.5360
MEM 2723.125000 1777130062.6364
MEM 2729.125000 1777130062.7369
MEM 2732.750000 1777130062.8374
MEM 2737.250000 1777130062.9378
MEM 2742.375000 1777130063.0382
MEM 2747.375000 1777130063.1386
MEM 2752.625000 1777130063.2393
MEM 2757.500000 1777130063.3399
MEM 2763.500000 1777130063.4404
MEM 2769.875000 1777130063.5409
MEM 2776.250000 1777130063.6415
MEM 2782.625000 1777130063.7419
MEM 2787.625000 1777130063.8423
MEM 2792.625000 1777130063.9427
MEM 2798.750000 1777130064.0432
MEM 2805.125000 1777130064.1437
MEM 2809.875000 1777130064.2441
MEM 2815.250000 1777130064.3447
MEM 2821.500000 1777130064.4451
MEM 2827.250000 1777130064.5454
MEM 2833.125000 1777130064.6459
MEM 2839.500000 1777130064.7464
MEM 2844.750000 1777130064.8469
MEM 2850.500000 1777130064.9473
MEM 2856.750000 1777130065.0476
MEM 2860.750000 1777130065.1480
MEM 2866.875000 1777130065.2484
MEM 2873.250000 1777130065.3487
MEM 2879.500000 1777130065.4492
MEM 2884.875000 1777130065.5496
MEM 2890.250000 1777130065.6500
MEM 2895.500000 1777130065.7505
MEM 2900.500000 1777130065.8509
MEM 2905.750000 1777130065.9513
MEM 2911.500000 1777130066.0517
MEM 2917.750000 1777130066.1521
MEM 2923.875000 1777130066.2525
MEM 2930.250000 1777130066.3529
MEM 2936.500000 1777130066.4534
MEM 2942.500000 1777130066.5538
MEM 2947.125000 1777130066.6542
MEM 2952.750000 1777130066.7546
MEM 2958.750000 1777130066.8553
MEM 2964.625000 1777130066.9557
MEM 2970.125000 1777130067.0563
MEM 2975.000000 1777130067.1568
MEM 2981.000000 1777130067.2573
MEM 2987.250000 1777130067.3576
MEM 2993.625000 1777130067.4580
MEM 3000.125000 1777130067.5585
MEM 3006.250000 1777130067.6589
MEM 3012.750000 1777130067.7593
MEM 3018.375000 1777130067.8597
MEM 3024.500000 1777130067.9601
MEM 3030.375000 1777130068.0605
MEM 3036.500000 1777130068.1609
MEM 3041.875000 1777130068.2614
MEM 3046.625000 1777130068.3618
MEM 3051.875000 1777130068.4622
MEM 3056.750000 1777130068.5626
MEM 3061.375000 1777130068.6630
MEM 3067.625000 1777130068.7635
MEM 3072.750000 1777130068.8639
MEM 3078.125000 1777130068.9643
MEM 3084.375000 1777130069.0646
MEM 3090.500000 1777130069.1651
MEM 3096.750000 1777130069.2654
MEM 3104.125000 1777130069.3659
MEM 3110.500000 1777130069.4662
MEM 3116.750000 1777130069.5667
MEM 3122.125000 1777130069.6671
MEM 3127.500000 1777130069.7676
MEM 3131.625000 1777130069.8680
MEM 3137.000000 1777130069.9685
MEM 3142.875000 1777130070.0690
MEM 3148.750000 1777130070.1695
MEM 3155.000000 1777130070.2699
